Country,Survey,PopClass,FoodexL1,Metrics,NrConsumers,PercConsumers,Mean,STD,P5,P10,Median,P95,P97,P99
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Alcoholic beverages,A.01.001534,144,46.80,319.79,337.95,40,62.5,226.25,995,"1,125.00","1,625.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Drinking water (water without any additives except,A.01.001573,300,97.40,"1,175.26",631.36,312.5,375,"1,117.50","2,350.00","2,625.00","2,750.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Herbs, spices and condiments",A.01.001580,270,87.70,34.17,38.5,0.71,1.1,20.56,116.65,142.65,164.81
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Products for special nutritional use,A.01.001748,11,3.60,160.68,207.69,10,15,25,500,500,500
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Composite food (including frozen products),A.01.001789,281,91.20,239.31,151.6,55,72.5,211,526,584,747.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Snacks, desserts, and other foods",A.01.001877,98,31.80,59.99,48.84,7.5,16,45,175,200,250
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Grains and grain-based products,A.01.000001,67,100.00,244.85,119.62,90.65,100,224.65,527.15,555.8,580.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Vegetables and vegetable products (including fungi,A.01.000317,47,70.10,116.61,85.95,12.5,20,85.5,270.5,278.88,445
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Starchy roots and tubers,A.01.000467,27,40.30,88.87,54.85,35,35,70.5,141,282,282
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Legumes, nuts and oilseeds",A.01.000486,12,17.90,33.6,19.54,7.5,10,33.38,65,65,65
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fruit and fruit products,A.01.000544,62,92.50,164.53,103.43,30,48.75,154,378.75,399.5,485
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Meat and meat products (including edible offal),A.01.000727,61,91.00,93.81,58.53,21,24.5,97.25,187.55,243.75,273
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,21,31.30,81.95,43.25,25,25,99.5,142.5,199,199
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Milk and dairy products,A.01.000948,66,98.50,133.01,141.24,10,15,78.75,476,557.5,618.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Eggs and egg products,A.01.001252,7,10.40,30,0,30,30,30,30,30,30
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Sugar and confectionary,A.01.001267,45,67.20,15.83,15.75,0.07,0.07,12,54,61.5,66
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Animal and vegetable fats and oils,A.01.001346,60,89.60,19.39,12.06,0.66,1.91,17.32,37.13,49.96,55
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fruit and vegetable juices,A.01.001394,28,41.80,127.86,117.78,15,50,125,500,500,500
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,67,100.00,469.22,336.52,171,180,370,965,"1,650.00","1,851.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Alcoholic beverages,A.01.001534,48,71.60,323.1,323.21,50,62.5,187.5,"1,165.00","1,165.00","1,452.50"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Drinking water (water without any additives except,A.01.001573,66,98.50,789.41,478.91,125,225,728.13,"1,500.00","2,000.00","2,100.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Herbs, spices and condiments",A.01.001580,57,85.10,22.36,27.78,0.39,0.66,12.1,70,100.66,123.64
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Products for special nutritional use,A.01.001748,1,1.50,12.5,0,12.5,12.5,12.5,12.5,12.5,12.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Composite food (including frozen products),A.01.001789,59,88.10,234.19,117.01,65.5,95,214,460.5,460.5,524
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Snacks, desserts, and other foods",A.01.001877,15,22.40,56.47,40.51,5,13.5,50,155,155,155
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Grains and grain-based products,A.01.000001,25,100.00,274.33,105.84,133.15,145.65,255,486,494,494
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Vegetables and vegetable products (including fungi,A.01.000317,21,84.00,117.33,91.65,6,7.5,88.75,270.5,308.88,308.88
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Starchy roots and tubers,A.01.000467,11,44.00,78.18,28.34,35,70.5,70.5,141,141,141
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Legumes, nuts and oilseeds",A.01.000486,5,20.00,37.7,46.1,5,5,10,113.5,113.5,113.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fruit and fruit products,A.01.000544,24,96.00,166.65,117.05,17.5,17.5,154.5,370,394.5,394.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Meat and meat products (including edible offal),A.01.000727,20,80.00,105.54,73.91,12.5,12.5,99.75,229,237.15,237.15
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,6,24.00,83.67,29.36,25,25,97,99.5,99.5,99.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Milk and dairy products,A.01.000948,24,96.00,141.28,105.5,20,29.5,121.75,350,375.5,375.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Eggs and egg products,A.01.001252,6,24.00,37.5,12.55,30,30,30,60,60,60
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Sugar and confectionary,A.01.001267,20,80.00,12.42,10.22,0.04,0.07,10.04,25.5,37.5,37.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Animal and vegetable fats and oils,A.01.001346,23,92.00,21.07,13.79,0.66,5.21,20,47.24,54.3,54.3
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fruit and vegetable juices,A.01.001394,8,32.00,178.75,114.16,62.5,62.5,125,375,375,375
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,25,100.00,605.35,419.08,180,180,520,"1,370.00","1,745.00","1,745.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Alcoholic beverages,A.01.001534,12,48.00,244.58,172.33,10,125,187.5,635,635,635
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Drinking water (water without any additives except,A.01.001573,25,100.00,"1,114.20",608.29,187.5,250,"1,000.00","2,000.00","2,360.00","2,360.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Herbs, spices and condiments",A.01.001580,23,92.00,19.92,22.63,0.66,0.71,11.26,60.86,62.29,62.29
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Composite food (including frozen products),A.01.001789,24,96.00,243.77,174.27,45,47.5,221.75,542.5,614,614
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Snacks, desserts, and other foods",A.01.001877,4,16.00,62.75,30.07,18,18,75,83,83,83
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Grains and grain-based products,A.01.000001,128,100.00,263.45,86.69,116.98,141.86,255.2,403.38,421.2,434.01
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Vegetables and vegetable products (including fungi,A.01.000317,126,98.40,71.83,48.85,11.67,18.63,61.83,166.98,182.94,231.76
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Starchy roots and tubers,A.01.000467,97,75.80,60.45,46.73,12.37,12.76,48,151.67,166.67,294.51
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Legumes, nuts and oilseeds",A.01.000486,41,32.00,14.79,12.4,3.46,5.42,10.17,36.12,46.67,62.5
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fruit and fruit products,A.01.000544,111,86.70,105.56,76.4,6.67,21.08,96.67,263.33,284.37,295.85
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Meat and meat products (including edible offal),A.01.000727,126,98.40,87.66,50.69,24.3,27.82,79.22,177.36,214.42,240.02
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Fish and other seafood (including amphibians, rept",A.01.000876,43,33.60,49.24,26.16,13.33,18.87,53.03,95,110.03,132.85
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Milk and dairy products,A.01.000948,124,96.90,296.02,183.42,37.18,89.61,279.57,616.06,729.33,969.78
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Eggs and egg products,A.01.001252,100,78.10,20.02,15.38,2.71,2.9,16.7,48.19,56.86,59.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Sugar and confectionary,A.01.001267,120,93.80,33.03,26.87,0.83,5,24.57,78.97,96.49,120
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Animal and vegetable fats and oils,A.01.001346,128,100.00,26.79,17.51,4.9,7.67,23.21,63.18,68.57,79.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fruit and vegetable juices,A.01.001394,117,91.40,173.84,167.37,8,15.45,133.33,570.67,638.77,770
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,101,78.90,239.15,188.9,50,66.67,200,550,693.33,753.33
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Alcoholic beverages,A.01.001534,43,33.60,10.78,18.1,0.36,0.53,4.77,41.67,83.33,83.61
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Drinking water (water without any additives except,A.01.001573,127,99.20,576.73,337.16,89.99,168.29,515.73,"1,095.22","1,237.07","1,369.15"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Herbs, spices and condiments",A.01.001580,127,99.20,9.98,11.14,0.7,1.18,7.22,34.44,45.65,51.33
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Products for special nutritional use,A.01.001748,3,2.30,222.22,96.23,166.67,166.67,166.67,333.33,333.33,333.33
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Composite food (including frozen products),A.01.001789,74,57.80,102.17,73.09,16.67,25,83.33,235.67,284,308
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Snacks, desserts, and other foods",A.01.001877,82,64.10,46.13,35.61,3.9,9,36.67,130.33,137,167.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Grains and grain-based products,A.01.000001,237,100.00,240.27,95.94,90.43,118.66,237,398.96,468.66,515.48
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,216,91.10,65.43,52.52,6.56,13.33,49.26,181.84,212.89,254.21
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Starchy roots and tubers,A.01.000467,161,67.90,63.21,44.62,11.98,15.87,49.38,161.96,180.92,194.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,39,16.50,15.75,13.81,4.35,5.99,10.67,64,66.67,66.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fruit and fruit products,A.01.000544,185,78.10,87.84,73.53,4.91,11.67,70.11,250,287.67,333.1
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Meat and meat products (including edible offal),A.01.000727,227,95.80,101.63,56.88,27.18,35.66,91.01,200.25,235.97,281.01
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,60,25.30,46.82,43.9,0.17,0.35,35.37,112,132.67,262.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Milk and dairy products,A.01.000948,232,97.90,206.66,157.87,21.96,42.4,176.5,481.78,633.33,716.67
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Eggs and egg products,A.01.001252,164,69.20,18.66,18.88,2.31,2.88,11.7,63.29,68.7,93.81
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Sugar and confectionary,A.01.001267,189,79.70,21.58,20.51,1.01,3.73,14.67,66.67,74.1,110
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Animal and vegetable fats and oils,A.01.001346,229,96.60,20.97,14.8,2.29,4.43,17.95,52.85,57.82,66.06
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fruit and vegetable juices,A.01.001394,173,73.00,170.32,175.6,6.67,10,112.77,436.67,541.67,843.33
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,179,75.50,329.1,287.58,66.67,83.33,250,833.33,"1,100.00","1,616.67"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Alcoholic beverages,A.01.001534,51,21.50,8.81,18.19,0.27,0.39,4.77,12.97,66.67,118.54
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Drinking water (water without any additives except,A.01.001573,228,96.20,555.46,394.11,50.73,100.67,449.44,"1,297.71","1,437.16","1,700.00"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Herbs, spices and condiments",A.01.001580,229,96.60,7.36,9.36,0.39,0.62,3.43,29.11,40.1,43.69
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Composite food (including frozen products),A.01.001789,157,66.20,91.07,67.65,21.94,25,73,216.33,255.33,309
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Snacks, desserts, and other foods",A.01.001877,123,51.90,37.87,31.66,5,8.33,31.56,94.67,119.05,155
Belgium,Diet National 2004,Adolescents,Grains and grain-based products,A.01.000001,576,100.00,259.76,127.23,82.5,116.9,241.25,488.3,553,688.5
Belgium,Diet National 2004,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,528,91.70,103.19,83.14,7,15.45,85.85,267.15,330.55,376.5
Belgium,Diet National 2004,Adolescents,Starchy roots and tubers,A.01.000467,465,80.70,116.3,79.64,31,31.3,96.75,266,317.5,359.65
Belgium,Diet National 2004,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,131,22.70,37.69,25.86,7.5,12,30,85.5,99,110
Belgium,Diet National 2004,Adolescents,Fruit and fruit products,A.01.000544,380,66.00,132.98,108.56,10.85,20,99.45,353.7,431.7,481.95
Belgium,Diet National 2004,Adolescents,Meat and meat products (including edible offal),A.01.000727,554,96.20,113.88,77.76,21.5,30.35,98.13,265,289,334.75
Belgium,Diet National 2004,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,188,32.60,46.23,35.84,8,12,38.9,121.5,135,198.1
Belgium,Diet National 2004,Adolescents,Milk and dairy products,A.01.000948,540,93.80,228.61,204.86,17.05,28.15,170.03,618.4,779.6,"1,052.40"
Belgium,Diet National 2004,Adolescents,Eggs and egg products,A.01.001252,227,39.40,24.47,26.58,1.7,2.35,12.5,88.1,96,101.15
Belgium,Diet National 2004,Adolescents,Sugar and confectionary,A.01.001267,464,80.60,40.12,34.3,5,8.5,30,102.5,128,153.3
Belgium,Diet National 2004,Adolescents,Animal and vegetable fats and oils,A.01.001346,561,97.40,19.94,21,1.65,2.9,13.2,58.2,77,98
Belgium,Diet National 2004,Adolescents,Fruit and vegetable juices,A.01.001394,284,49.30,234.34,220.06,62.5,75,152.1,600,750,"1,325.00"
Belgium,Diet National 2004,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,504,87.50,622.5,461.21,100,125,502.25,"1,425.00","1,655.00","1,765.00"
Belgium,Diet National 2004,Adolescents,Alcoholic beverages,A.01.001534,109,18.90,357.29,514.86,9.4,23.05,137.5,"1,500.00","2,125.00","2,560.00"
Belgium,Diet National 2004,Adolescents,Drinking water (water without any additives except,A.01.001573,471,81.80,699.61,528.53,75,138.57,575,"1,750.00","1,900.00","2,125.00"
Belgium,Diet National 2004,Adolescents,"Herbs, spices and condiments",A.01.001580,507,88.00,46.02,50.22,4.15,6,31.2,141.5,176.1,285.75
Belgium,Diet National 2004,Adolescents,Food for infants and small children,A.01.001715,12,2.10,21.88,9.18,12.5,12.5,23.75,37.5,37.5,37.5
Belgium,Diet National 2004,Adolescents,Products for special nutritional use,A.01.001748,35,6.10,191.43,249.61,5,8.75,165,750,"1,250.00","1,250.00"
Belgium,Diet National 2004,Adolescents,Composite food (including frozen products),A.01.001789,336,58.30,138.66,124.69,10,16.85,131.25,370.75,484.9,559
Belgium,Diet National 2004,Adolescents,"Snacks, desserts, and other foods",A.01.001877,298,51.70,51.92,41.02,10,15,37.5,132.75,154.85,196.5
Belgium,Diet National 2004,Adults,Grains and grain-based products,A.01.000001,"1,287",99.60,235.68,124.58,75,98.1,213,464.55,532.95,615.9
Belgium,Diet National 2004,Adults,Vegetables and vegetable products (including fungi,A.01.000317,"1,202",93.00,130.61,96.09,18.75,30.15,112.43,312.4,361.15,470.25
Belgium,Diet National 2004,Adults,Starchy roots and tubers,A.01.000467,"1,038",80.30,118.84,77.94,31,35.6,106.25,266,304,345.5
Belgium,Diet National 2004,Adults,"Legumes, nuts and oilseeds",A.01.000486,362,28.00,42.97,37.12,3.95,7.5,33.33,100,125,180
Belgium,Diet National 2004,Adults,Fruit and fruit products,A.01.000544,994,76.90,156.39,117.21,15.1,30,131.8,378.15,433.9,502.6
Belgium,Diet National 2004,Adults,Meat and meat products (including edible offal),A.01.000727,"1,241",96.10,123.18,80.39,24.5,37.8,107.8,288.9,318.05,366.3
Belgium,Diet National 2004,Adults,"Fish and other seafood (including amphibians, rept",A.01.000876,538,41.60,61.02,49.62,6,10.5,50,159.15,199,228
Belgium,Diet National 2004,Adults,Milk and dairy products,A.01.000948,"1,218",94.30,184.63,176.63,17.5,30.5,141.93,499.45,601,881.8
Belgium,Diet National 2004,Adults,Eggs and egg products,A.01.001252,508,39.30,26.52,29.06,1.25,2.25,16.33,86.5,95,123.25
Belgium,Diet National 2004,Adults,Sugar and confectionary,A.01.001267,965,74.70,31.67,32.97,3,4.5,23.5,87.5,123.23,157.56
Belgium,Diet National 2004,Adults,Animal and vegetable fats and oils,A.01.001346,"1,274",98.60,29.04,29.57,2,3.95,20.3,85.1,112.85,138.55
Belgium,Diet National 2004,Adults,Fruit and vegetable juices,A.01.001394,492,38.10,180.84,186.18,2.5,17.25,125,500,625,981.4
Belgium,Diet National 2004,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,"1,247",96.50,742.73,528.82,165,237.5,625,"1,700.00","2,011.25","2,540.00"
Belgium,Diet National 2004,Adults,Alcoholic beverages,A.01.001534,692,53.60,389.07,432.11,35.9,62.5,250,"1,250.00","1,467.50","2,000.00"
Belgium,Diet National 2004,Adults,Drinking water (water without any additives except,A.01.001573,"1,105",85.50,786,607.11,98,150,675,"1,880.50","2,250.00","2,625.00"
Belgium,Diet National 2004,Adults,"Herbs, spices and condiments",A.01.001580,"1,080",83.60,40.4,46.14,2.3,4.5,25.1,133.2,165.8,221.7
Belgium,Diet National 2004,Adults,Food for infants and small children,A.01.001715,14,1.10,32.67,38.97,4,12.5,14.5,150,150,150
Belgium,Diet National 2004,Adults,Products for special nutritional use,A.01.001748,124,9.60,67.57,113.95,4.85,5,20.05,325,337.5,560
Belgium,Diet National 2004,Adults,Composite food (including frozen products),A.01.001789,763,59.10,177.99,132.33,17.5,29.75,131.25,438.75,525,592.5
Belgium,Diet National 2004,Adults,"Snacks, desserts, and other foods",A.01.001877,449,34.80,56.14,55.07,6.3,10,45,125,167.4,190
Belgium,Diet National 2004,Elderly,Grains and grain-based products,A.01.000001,511,100.00,199.04,109.65,67.5,91,175,420,478.45,516.75
Belgium,Diet National 2004,Elderly,Vegetables and vegetable products (including fungi,A.01.000317,486,95.10,133.61,92.01,20.75,32.45,117.5,321.6,355.2,419.8
Belgium,Diet National 2004,Elderly,Starchy roots and tubers,A.01.000467,466,91.20,141.67,82.35,35,48.5,130,304,327,363.5
Belgium,Diet National 2004,Elderly,"Legumes, nuts and oilseeds",A.01.000486,157,30.70,55.8,42.06,7.5,11.25,49.5,140,159.5,212.8
Belgium,Diet National 2004,Elderly,Fruit and fruit products,A.01.000544,470,92.00,179.17,144.25,17.5,35,143.1,442.6,492.25,740.65
Belgium,Diet National 2004,Elderly,Meat and meat products (including edible offal),A.01.000727,495,96.90,122.49,74.77,27,42.1,114,257.9,312.25,371.5
Belgium,Diet National 2004,Elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,196,38.40,73.92,52.63,12,18,67.5,175,212.75,271.7
Belgium,Diet National 2004,Elderly,Milk and dairy products,A.01.000948,490,95.90,150.42,139.81,14.5,26,106.08,443,502.5,656.65
Belgium,Diet National 2004,Elderly,Eggs and egg products,A.01.001252,167,32.70,27.19,23.73,1.35,2,25,70,90,95
Belgium,Diet National 2004,Elderly,Sugar and confectionary,A.01.001267,388,75.90,22.92,21.43,2.4,3.5,16.72,58.45,83.4,102
Belgium,Diet National 2004,Elderly,Animal and vegetable fats and oils,A.01.001346,508,99.40,44.56,36.94,4.65,10.85,37.43,106.9,134.7,199.3
Belgium,Diet National 2004,Elderly,Fruit and vegetable juices,A.01.001394,149,29.20,132.77,102.98,2,15,125,300,350,646
Belgium,Diet National 2004,Elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,498,97.50,633.19,353.45,187.5,239.65,565.63,"1,275.00","1,475.00","1,687.50"
Belgium,Diet National 2004,Elderly,Alcoholic beverages,A.01.001534,302,59.10,337.42,355.64,37.5,62.5,250,"1,156.25","1,375.00","1,562.50"
Belgium,Diet National 2004,Elderly,Drinking water (water without any additives except,A.01.001573,440,86.10,640.62,491.05,75,125,525,"1,600.00","1,837.50","2,125.00"
Belgium,Diet National 2004,Elderly,"Herbs, spices and condiments",A.01.001580,394,77.10,30.21,34.27,1.45,3.8,17.1,100.8,129.6,166.6
Belgium,Diet National 2004,Elderly,Food for infants and small children,A.01.001715,2,0.40,10,3.54,7.5,7.5,10,12.5,12.5,12.5
Belgium,Diet National 2004,Elderly,Products for special nutritional use,A.01.001748,50,9.80,38.96,84.39,5,5,20,200,330,500
Belgium,Diet National 2004,Elderly,Composite food (including frozen products),A.01.001789,352,68.90,205.83,122.45,37.5,78.75,164.38,442.75,526.25,656.25
Belgium,Diet National 2004,Elderly,"Snacks, desserts, and other foods",A.01.001877,150,29.40,61.73,50.63,10,16.5,49.5,150,229,277.5
Belgium,Diet National 2004,Very elderly,Grains and grain-based products,A.01.000001,702,99.70,190.37,101.27,67.45,83.45,173.9,356.45,429.5,504.5
Belgium,Diet National 2004,Very elderly,Vegetables and vegetable products (including fungi,A.01.000317,640,90.90,117.24,90.28,15,26.7,99.63,272.5,339.35,443.35
Belgium,Diet National 2004,Very elderly,Starchy roots and tubers,A.01.000467,638,90.60,141.15,86.33,35,52.9,125,307.5,360,456
Belgium,Diet National 2004,Very elderly,"Legumes, nuts and oilseeds",A.01.000486,168,23.90,52.21,40.56,4.85,8.75,49.5,119,159.5,209
Belgium,Diet National 2004,Very elderly,Fruit and fruit products,A.01.000544,634,90.10,181,140.75,20,30,153.23,435,553.4,621.85
Belgium,Diet National 2004,Very elderly,Meat and meat products (including edible offal),A.01.000727,680,96.60,113.63,62.82,28.65,39.2,108.05,232.15,277.25,299.5
Belgium,Diet National 2004,Very elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,248,35.20,67.59,47.22,13,18.4,53.3,151,175,218
Belgium,Diet National 2004,Very elderly,Milk and dairy products,A.01.000948,675,95.90,150.8,130.79,20,27,114.5,391.9,489.25,569.7
Belgium,Diet National 2004,Very elderly,Eggs and egg products,A.01.001252,224,31.80,27.61,26.92,1.35,1.9,22.5,75,106.5,117.5
Belgium,Diet National 2004,Very elderly,Sugar and confectionary,A.01.001267,498,70.70,22.22,22.35,1.9,3,15.75,64,78,108.5
Belgium,Diet National 2004,Very elderly,Animal and vegetable fats and oils,A.01.001346,702,99.70,45.93,36.2,4.9,9.75,39.1,109.45,130.75,158.65
Belgium,Diet National 2004,Very elderly,Fruit and vegetable juices,A.01.001394,178,25.30,135.62,104.02,1.6,9.5,117,350,375,525
Belgium,Diet National 2004,Very elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,691,98.20,563.97,306.16,187.5,225,500,"1,112.50","1,312.50","1,512.50"
Belgium,Diet National 2004,Very elderly,Alcoholic beverages,A.01.001534,396,56.30,253.06,228.18,31.25,50,187.5,665,870,"1,125.00"
Belgium,Diet National 2004,Very elderly,Drinking water (water without any additives except,A.01.001573,596,84.70,531.38,390.81,75,125,450,"1,250.00","1,557.68","1,875.00"
Belgium,Diet National 2004,Very elderly,"Herbs, spices and condiments",A.01.001580,516,73.30,24.92,30.07,0.6,1.9,13.8,91.9,108.4,139.8
